product_name,screen_size,processor,ram,storage,os,price
MSI Titan 18HX Gaming Laptop,"18""",Intel Core i9,128 GB RAM,,,"20,029"
MSI Vector 16 HX Gaming Laptop,"16""",Intel Core i9,32 GB RAM,,,"9,029"
MSI Raider 18 HX Gaming Laptop,"18""",Intel Core i9,32 GB RAM,,,"15,029"
HP OMEN (with Headset) Gaming Laptop,"16.1""",Intel Core i7,32 GB RAM,,,"9,499"
Acer Predator Helios 16 Gaming Laptop,"16""",Intel Core i9,32 GB RAM,1 TB SSD,,"10,029"
HP Spectre x360 2-in-1 Laptop - Convertible,"16""",Intel Core Ultra 7,32 GB RAM,,,"8,019"
Lenovo Legion 9 Gaming Laptop,"16""",Intel Core i9,64 GB RAM,,,"18,029"
Lenovo Yoga 9 OLED 2-in-1 Laptop - Convertible,"14""",Intel Core i7,16 GB RAM,,,"5,999"
Apple MacBook Air 13 M1 Retina Laptop,"13.3""",M1,8 GB RAM,256 GB SSD,,"2,999"
Apple MacBook Air 13 M1 Retina Laptop,"13.3""",M1,8 GB RAM,256 GB SSD,,"2,999"
HP OMEN Transcend Gaming Laptop,"14""",Intel Core Ultra 7,16 GB RAM,,,"7,819"
Apple iPad Pro 11 - 2022 Tablet - Wi-Fi,"11""",2 TB,8-core CPU,Space Grey,null,"6,999"
HP Victus Gaming Laptop,"16.1""",Intel Core i7,32 GB RAM,,,"5,799"
HP OMEN Gaming Laptop,"16.1""",Intel Core i7,32 GB RAM,,,"7,019"
MSI Katana 15 Gaming Laptop,"15.6""",Intel Core i9,16 GB RAM,,,"6,029"
MSI Cyborg 15 Gaming Laptop,"15.6""",Intel Core i7,16 GB RAM,1 TB SSD,,"4,329"
Lenovo Legion 7 Gaming Laptop,"16""",Intel Core i9,32 GB RAM,,,"9,029"
MSI Pulse 17 AI C1VGKG Gaming Laptop,"17.3""",Intel Core Ultra 9,32 GB RAM,,,"7,529"
Lenovo IdeaPad Gaming 3 Gaming Laptop,"15.6""",AMD Ryzen 7,16 GB RAM,,,"3,699"
Lenovo Legion Pro 5 Gaming Laptop,"16""",Intel Core i7,16 GB RAM,,,"6,829"
Lenovo IdeaPad 5 Pro Laptop,"16""",Intel Core i7,16 GB RAM,,,"4,699"
Asus ROG Zephyrus G16 Gaming Laptop,"16""",AMD AI 9,32 GB RAM,,,"9,599"
